id,number,side,move,fen
1,1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
2,2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
3,3,white,c4,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR
4,4,black,c6,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR
5,5,white,e3,rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR
6,6,black,Bf5,rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR
7,7,white,Nc3,rn1qkbnrpp2pppp2p53p1b22PP42N1P3PP3PPPR1BQKBNR
8,8,black,e6,rn1qkbnrpp3ppp2p1p33p1b22PP42N1P3PP3PPPR1BQKBNR
9,9,white,Nf3,rn1qkbnrpp3ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
10,10,black,Nd7,r2qkbnrpp1n1ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
11,11,white,a3,r2qkbnrpp1n1ppp2p1p33p1b22PP4P1N1PN21P3PPPR1BQKB1R
12,12,black,Bd6,r2qk1nrpp1n1ppp2pbp33p1b22PP4P1N1PN21P3PPPR1BQKB1R
13,13,white,c5,r2qk1nrpp1n1ppp2pbp32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
14,14,black,Bc7,r2qk1nrppbn1ppp2p1p32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
15,15,white,b4,r2qk1nrppbn1ppp2p1p32Pp1b21P1P4P1N1PN25PPPR1BQKB1R
16,16,black,e5,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN25PPPR1BQKB1R
17,17,white,Be2,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN24BPPPR1BQK2R
18,18,black,Ngf6,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN24BPPPR1BQK2R
19,19,white,Bb2,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN21B2BPPPR2QK2R
20,20,black,e4,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1PN21B2BPPPR2QK2R
21,21,white,Nd2,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1P31B1NBPPPR2QK2R
22,22,black,h5,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P31B1NBPPPR2QK2R
23,23,white,h3,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
24,24,black,Nf8,r2qkn1rppb2pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
25,25,white,a4,r2qkn1rppb2pp12p2n22Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
26,26,black,Ng6,r2qk2rppb2pp12p2nn12Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
27,27,white,b5,r2qk2rppb2pp12p2nn11PPp1b1pP2Pp32N1P2P1B1NBPP1R2QK2R
28,28,black,Nh4,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P2P1B1NBPP1R2QK2R
29,29,white,g3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P1PP1B1NBP2R2QK2R
30,30,black,Ng2+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2QK2R
31,31,white,Kf1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2Q1K1R
32,32,black,Nxe3+,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1n1PP1B1NBP2R2Q1K1R
33,33,white,fxe3,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NB3R2Q1K1R
34,34,black,Bxg3,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB3R2Q1K1R
35,35,white,Kg2,r2qk2rpp3pp12p2n21PPp1b1pP2Pp32N1P1bP1B1NB1K1R2Q3R
36,36,black,Bc7,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R2Q3R
37,37,white,Qg1,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR
38,38,black,Rh6,r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB1K1R5QR
39,39,white,Kf1,r2qk3ppb2pp12p2n1r1PPp1b1pP2Pp32N1P2P1B1NB3R4KQR
40,40,black,Rg6,r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NB3R4KQR
41,41,white,Qf2,r2qk3ppb2pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
42,42,black,Qd7,r3k3ppbq1pp12p2nr11PPp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
43,43,white,bxc6,r3k3ppbq1pp12P2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
44,44,black,bxc6,r3k3p1bq1pp12p2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4K1R
45,45,white,Rg1,r3k3p1bq1pp12p2nr12Pp1b1pP2Pp32N1P2P1B1NBQ2R4KR1
46,46,black,Bxh3+,r3k3p1bq1pp12p2nr12Pp3pP2Pp32N1P2b1B1NBQ2R4KR1
47,47,white,Ke1,r3k3p1bq1pp12p2nr12Pp3pP2Pp32N1P2b1B1NBQ2R3K1R1
48,48,black,Ng4,r3k3p1bq1pp12p3r12Pp3pP2Pp1n12N1P2b1B1NBQ2R3K1R1
49,49,white,Bxg4,r3k3p1bq1pp12p3r12Pp3pP2Pp1B12N1P2b1B1N1Q2R3K1R1
50,50,black,Bxg4,r3k3p1bq1pp12p3r12Pp3pP2Pp1b12N1P31B1N1Q2R3K1R1
51,51,white,Ne2,r3k3p1bq1pp12p3r12Pp3pP2Pp1b14P31B1NNQ2R3K1R1
52,52,black,Qe7,r3k3p1b1qpp12p3r12Pp3pP2Pp1b14P31B1NNQ2R3K1R1
53,53,white,Nf4,r3k3p1b1qpp12p3r12Pp3pP2PpNb14P31B1N1Q2R3K1R1
54,54,black,Rh6,r3k3p1b1qpp12p4r2Pp3pP2PpNb14P31B1N1Q2R3K1R1
55,55,white,Bc3,r3k3p1b1qpp12p4r2Pp3pP2PpNb12B1P33N1Q2R3K1R1
56,56,black,g5,r3k3p1b1qp22p4r2Pp2ppP2PpNb12B1P33N1Q2R3K1R1
57,57,white,Ne2,r3k3p1b1qp22p4r2Pp2ppP2Pp1b12B1P33NNQ2R3K1R1
58,58,black,Rf6,r3k3p1b1qp22p2r22Pp2ppP2Pp1b12B1P33NNQ2R3K1R1
59,59,white,Qg2,r3k3p1b1qp22p2r22Pp2ppP2Pp1b12B1P33NN1Q1R3K1R1
60,60,black,Rf3,r3k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr23NN1Q1R3K1R1
61,61,white,Nf1,r3k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr24N1Q1R3KNR1
62,62,black,Rb8,1r2k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr24N1Q1R3KNR1
63,63,white,Kd2,1r2k3p1b1qp22p52Pp2ppP2Pp1b12B1Pr23KN1Q1R4NR1
64,64,black,f5,1r2k3p1b1q32p52Pp1pppP2Pp1b12B1Pr23KN1Q1R4NR1
65,65,white,a5,1r2k3p1b1q32p5P1Pp1ppp3Pp1b12B1Pr23KN1Q1R4NR1
66,66,black,f4,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4NR1
67,67,white,Rh1,1r2k3p1b1q32p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R
68,68,black,Qf7,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q1R4N1R
69,69,white,Re1,1r2k3p1b2q22p5P1Pp2pp3Pppb12B1Pr23KN1Q14RN1R
70,70,black,fxe3+,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1pr23KN1Q14RN1R
71,71,white,Nxe3,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1Nr23KN1Q14R2R
72,72,black,Rf2,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNrQ14R2R
73,73,white,Qxf2,1r2k3p1b2q22p5P1Pp2pp3Pp1b12B1N33KNQ24R2R
74,74,black,Qxf2,1r2k3p1b52p5P1Pp2pp3Pp1b12B1N33KNq24R2R
75,75,white,Nxg4,1r2k3p1b52p5P1Pp2pp3Pp1N12B53KNq24R2R
76,76,black,Bf4+,1r2k3p72p5P1Pp2pp3PpbN12B53KNq24R2R
77,77,white,Kc2,1r2k3p72p5P1Pp2pp3PpbN12B52K1Nq24R2R
78,78,black,hxg4,1r2k3p72p5P1Pp2p13Ppbp12B52K1Nq24R2R
79,79,white,Bd2,1r2k3p72p5P1Pp2p13Ppbp182KBNq24R2R
80,80,black,e3,1r2k3p72p5P1Pp2p13P1bp14p32KBNq24R2R
81,81,white,Bc1,1r2k3p72p5P1Pp2p13P1bp14p32K1Nq22B1R2R
82,82,black,Qg2,1r2k3p72p5P1Pp2p13P1bp14p32K1N1q12B1R2R
83,83,white,Kc3,1r2k3p72p5P1Pp2p13P1bp12K1p34N1q12B1R2R
84,84,black,Kd7,1r6p2k42p5P1Pp2p13P1bp12K1p34N1q12B1R2R
85,85,white,Rh7+,1r6p2k3R2p5P1Pp2p13P1bp12K1p34N1q12B1R3
86,86,black,Ke6,1r6p6R2p1k3P1Pp2p13P1bp12K1p34N1q12B1R3
87,87,white,Rh6+,1r6p72p1k2RP1Pp2p13P1bp12K1p34N1q12B1R3
88,88,black,Kf5,1r6p72p4RP1Pp1kp13P1bp12K1p34N1q12B1R3
89,89,white,Bxe3,1r6p72p4RP1Pp1kp13P1bp12K1B34N1q14R3
90,90,black,Bxe3,1r6p72p4RP1Pp1kp13P2p12K1b34N1q14R3
91,91,white,Rf1+,1r6p72p4RP1Pp1kp13P2p12K1b34N1q15R2
92,92,black,Bf4,1r6p72p4RP1Pp1kp13P1bp12K54N1q15R2
93,1,white,e4,rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR
94,2,black,e5,rnbqkbnrpppp1ppp84p34P38PPPP1PPPRNBQKBNR
95,3,white,Nf3,rnbqkbnrpppp1ppp84p34P35N2PPPP1PPPRNBQKB1R
96,4,black,Nc6,r1bqkbnrpppp1ppp2n54p34P35N2PPPP1PPPRNBQKB1R
97,5,white,d4,r1bqkbnrpppp1ppp2n54p33PP35N2PPP2PPPRNBQKB1R
98,6,black,exd4,r1bqkbnrpppp1ppp2n583pP35N2PPP2PPPRNBQKB1R
99,7,white,Nxd4,r1bqkbnrpppp1ppp2n583NP38PPP2PPPRNBQKB1R
100,8,black,Nf6,r1bqkb1rpppp1ppp2n2n283NP38PPP2PPPRNBQKB1R
101,9,white,Nc3,r1bqkb1rpppp1ppp2n2n283NP32N5PPP2PPPR1BQKB1R
102,10,black,Bb4,r1bqk2rpppp1ppp2n2n281b1NP32N5PPP2PPPR1BQKB1R
103,11,white,Nxc6,r1bqk2rpppp1ppp2N2n281b2P32N5PPP2PPPR1BQKB1R
104,12,black,bxc6,r1bqk2rp1pp1ppp2p2n281b2P32N5PPP2PPPR1BQKB1R
105,13,white,Bd3,r1bqk2rp1pp1ppp2p2n281b2P32NB4PPP2PPPR1BQK2R
106,14,black,d5,r1bqk2rp1p2ppp2p2n23p41b2P32NB4PPP2PPPR1BQK2R
107,15,white,exd5,r1bqk2rp1p2ppp2p2n23P41b62NB4PPP2PPPR1BQK2R
108,16,black,cxd5,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQK2R
109,17,white,O-O,r1bqk2rp1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1
110,18,black,O-O,r1bq1rk1p1p2ppp5n23p41b62NB4PPP2PPPR1BQ1RK1
111,19,white,Bg5,r1bq1rk1p1p2ppp5n23p2B11b62NB4PPP2PPPR2Q1RK1
112,20,black,c6,r1bq1rk1p4ppp2p2n23p2B11b62NB4PPP2PPPR2Q1RK1
113,21,white,Ne2,r1bq1rk1p4ppp2p2n23p2B11b63B4PPP1NPPPR2Q1RK1
114,22,black,Bd6,r1bq1rk1p4ppp2pb1n23p2B183B4PPP1NPPPR2Q1RK1
115,23,white,Ng3,r1bq1rk1p4ppp2pb1n23p2B183B2N1PPP2PPPR2Q1RK1
116,24,black,h6,r1bq1rk1p4pp12pb1n1p3p2B183B2N1PPP2PPPR2Q1RK1
117,25,white,Bd2,r1bq1rk1p4pp12pb1n1p3p483B2N1PPPB1PPPR2Q1RK1
118,26,black,Ng4,r1bq1rk1p4pp12pb3p3p46n13B2N1PPPB1PPPR2Q1RK1
119,27,white,Be2,r1bq1rk1p4pp12pb3p3p46n16N1PPPBBPPPR2Q1RK1
120,28,black,Qh4,r1b2rk1p4pp12pb3p3p46nq6N1PPPBBPPPR2Q1RK1
121,29,white,Bxg4,r1b2rk1p4pp12pb3p3p46Bq6N1PPPB1PPPR2Q1RK1
122,30,black,Bxg4,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR2Q1RK1
123,31,white,Qc1,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR1Q2RK1
124,32,black,Be2,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q2RK1
125,33,white,Re1,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q1R1K1
126,34,black,Ba6,r4rk1p4pp1b1pb3p3p47q6N1PPPB1PPPR1Q1R1K1
127,35,white,Bc3,r4rk1p4pp1b1pb3p3p47q2B3N1PPP2PPPR1Q1R1K1
128,36,black,f5,r4rk1p5p1b1pb3p3p1p27q2B3N1PPP2PPPR1Q1R1K1
129,37,white,Re6,r4rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1
130,38,black,Rad8,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1
131,39,white,Qd2,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPPQ1PPPR5K1
132,40,black,d4,3r1rk1p5p1b1pbR2p5p23p3q2B3N1PPPQ1PPPR5K1
